type	date	item	value
Moonchain Daily Report	06-October-2024	Active accounts	421
Moonchain Daily Report	06-October-2024	Average transaction fee	2.247460462557913 MXC
Moonchain Daily Report	06-October-2024	Number of new transactions	2930
Moonchain Daily Report	06-October-2024	Number of new blocks	1362
Moonchain Daily Report	06-October-2024	Average size of blocks	1441 bytes
Moonchain Daily Report	06-October-2024	Average amount of reward	0.08810875097847262 MXC
Moonchain Daily Report	06-October-2024	Cumulative gas used	282112832919
Moonchain Daily Report	06-October-2024	Average gas price	17143.48144746687 Gwei
Moonchain Daily Report	06-October-2024	Number of new contracts	7
Moonchain Daily Report	05-October-2024	Active accounts	439
Moonchain Daily Report	05-October-2024	Average transaction fee	2.7251766384381777 MXC
Moonchain Daily Report	05-October-2024	Number of new transactions	2463
Moonchain Daily Report	05-October-2024	Number of new blocks	1157
Moonchain Daily Report	05-October-2024	Average size of blocks	1339 bytes
Moonchain Daily Report	05-October-2024	Average amount of reward	0.0702911272750491 MXC
Moonchain Daily Report	05-October-2024	Cumulative gas used	281701137533
Moonchain Daily Report	05-October-2024	Average gas price	21741.112736579213 Gwei
Moonchain Daily Report	05-October-2024	Number of new contracts	11
Moonchain Daily Report	06-October-2024	Active accounts	421
Moonchain Daily Report	06-October-2024	Average transaction fee	2.247460462557913 MXC
Moonchain Daily Report	06-October-2024	Number of new transactions	2930
Moonchain Daily Report	06-October-2024	Number of new blocks	1362
Moonchain Daily Report	06-October-2024	Average size of blocks	1441 bytes
Moonchain Daily Report	06-October-2024	Average amount of reward	0.08810875097847262 MXC
Moonchain Daily Report	06-October-2024	Cumulative gas used	282112832919
Moonchain Daily Report	06-October-2024	Average gas price	17143.48144746687 Gwei
Moonchain Daily Report	06-October-2024	Number of new contracts	7
Moonchain Daily Report	05-October-2024	Active accounts	439
Moonchain Daily Report	05-October-2024	Average transaction fee	2.7251766384381777 MXC
Moonchain Daily Report	05-October-2024	Number of new transactions	2463
Moonchain Daily Report	05-October-2024	Number of new blocks	1157
Moonchain Daily Report	05-October-2024	Average size of blocks	1339 bytes
Moonchain Daily Report	05-October-2024	Average amount of reward	0.0702911272750491 MXC
Moonchain Daily Report	05-October-2024	Cumulative gas used	281701137533
Moonchain Daily Report	05-October-2024	Average gas price	21741.112736579213 Gwei
Moonchain Daily Report	05-October-2024	Number of new contracts	11
